#:t M1mx M1my M1mz
19.25 0.189717 -0.340614 0.920863
19.3 0.190197 -0.345182 0.919062
19.35 0.190676 -0.34974 0.917237
19.4 0.191156 -0.354289 0.91539
19.45 0.191635 -0.358827 0.91352
19.5 0.192115 -0.363356 0.911627
19.55 0.192594 -0.367875 0.909712
19.6 0.193073 -0.372384 0.907774
19.65 0.193552 -0.376882 0.905813
19.7 0.194031 -0.38137 0.90383
19.75 0.19451 -0.385847 0.901825
19.8 0.194988 -0.390314 0.899797
19.85 0.195467 -0.39477 0.897747
19.9 0.195945 -0.399216 0.895674
19.95 0.196424 -0.40365 0.893579
20.0 0.196902 -0.408073 0.891463
20.05 0.19738 -0.412485 0.889324
20.1 0.197859 -0.416886 0.887163
20.15 0.198337 -0.421276 0.88498
20.2 0.198814 -0.425654 0.882775
20.25 0.199292 -0.43002 0.880548
20.3 0.19977 -0.434375 0.8783
20.35 0.200248 -0.438718 0.87603
20.4 0.200725 -0.443048 0.873738
20.45 0.201203 -0.447367 0.871424
20.5 0.20168 -0.451674 0.869089
20.55 0.202157 -0.455968 0.866733
20.6 0.202634 -0.46025 0.864355
20.65 0.203111 -0.46452 0.861955
20.7 0.203588 -0.468777 0.859535
20.75 0.204065 -0.473021 0.857093
20.8 0.204542 -0.477252 0.85463
20.85 0.205018 -0.481471 0.852146
20.9 0.205495 -0.485676 0.849641
20.95 0.205971 -0.489869 0.847115
21.0 0.206447 -0.494048 0.844569
21.05 0.206924 -0.498214 0.842001
21.1 0.2074 -0.502366 0.839413
21.15 0.207876 -0.506505 0.836804
21.2 0.208352 -0.51063 0.834174
21.25 0.208827 -0.514742 0.831524
21.3 0.209303 -0.518839 0.828854
21.35 0.209779 -0.522923 0.826163
21.4 0.210254 -0.526992 0.823451
21.45 0.210729 -0.531048 0.82072
21.5 0.211205 -0.535089 0.817968
21.55 0.21168 -0.539116 0.815197
21.6 0.212155 -0.543128 0.812405
21.65 0.21263 -0.547126 0.809593
21.7 0.213105 -0.551109 0.806762
21.75 0.213579 -0.555078 0.803911
21.8 0.214054 -0.559031 0.80104
21.85 0.214528 -0.56297 0.798149
21.9 0.215003 -0.566893 0.795239
21.95 0.215477 -0.570802 0.79231
22.0 0.215951 -0.574695 0.789361
22.05 0.216425 -0.578573 0.786393
22.1 0.216899 -0.582435 0.783406
22.15 0.217373 -0.586282 0.780399
22.2 0.217847 -0.590113 0.777373
22.25 0.218321 -0.593928 0.774329
22.3 0.218794 -0.597728 0.771265
22.35 0.219268 -0.601512 0.768183
22.4 0.219741 -0.605279 0.765082
22.45 0.220214 -0.609031 0.761963
22.5 0.220687 -0.612766 0.758824
22.55 0.22116 -0.616486 0.755668
22.6 0.221633 -0.620188 0.752493
22.65 0.222106 -0.623874 0.749299
22.7 0.222579 -0.627544 0.746088
22.75 0.223051 -0.631197 0.742858
22.8 0.223523 -0.634833 0.739611
22.85 0.223996 -0.638453 0.736345
22.9 0.224468 -0.642055 0.733061
22.95 0.22494 -0.645641 0.72976
23.0 0.225412 -0.649209 0.726441
23.05 0.225884 -0.652761 0.723104
23.1 0.226356 -0.656294 0.71975
23.15 0.226827 -0.659811 0.716379
23.2 0.227299 -0.66331 0.71299
23.25 0.22777 -0.666792 0.709584
23.3 0.228242 -0.670256 0.706161
23.35 0.228713 -0.673702 0.70272
23.4 0.229184 -0.67713 0.699263
23.45 0.229655 -0.680541 0.695789
23.5 0.230126 -0.683934 0.692298
23.55 0.230597 -0.687308 0.688791
23.6 0.231067 -0.690665 0.685266
23.65 0.231538 -0.694003 0.681726
23.7 0.232008 -0.697323 0.678169
23.75 0.232479 -0.700624 0.674595
23.8 0.232949 -0.703908 0.671006
23.85 0.233419 -0.707172 0.6674
23.9 0.233889 -0.710418 0.663779
23.95 0.234359 -0.713645 0.660141
24.0 0.234829 -0.716854 0.656488
24.05 0.235298 -0.720044 0.652818
24.1 0.235768 -0.723214 0.649134
24.15 0.236237 -0.726366 0.645433
24.2 0.236706 -0.729499 0.641718
24.25 0.237175 -0.732612 0.637987
24.3 0.237645 -0.735707 0.63424
