#:t M1X M2X M1V M2V
177.0 0.128256621173 1.01314811215 -0.0487673914701 0.853145846658
177.05 0.125483321036 1.01288622505 -0.0621646140042 0.852158330521
177.1 0.122090383723 1.01239675261 -0.0735528785356 0.85262434156
177.15 0.118123681692 1.01147267742 -0.0851152026755 0.851256419281
177.2 0.113596449777 1.01027796529 -0.0959740739308 0.85360356254
177.25 0.108538774883 1.00905192155 -0.106332921838 0.850432111762
177.3 0.102982284787 1.00787043831 -0.115926681999 0.852475054455
177.35 0.0969720574386 1.00665703788 -0.124482411941 0.857840380333
177.4 0.0905298464935 1.00533342688 -0.133206025865 0.859064748674
177.45 0.0836693464791 1.00386516362 -0.141213974712 0.861456329062
177.5 0.0764712940926 1.0022631952 -0.146708120748 0.865941155382
177.55 0.0689765451945 1.00069972096 -0.153081835175 0.869600114602
177.6 0.0611701374656 0.999291955852 -0.15917447398 0.874425837153
177.65 0.0531422305447 0.998157303118 -0.161941802857 0.872562052789
177.7 0.0449024458498 0.997292389144 -0.167649584939 0.873958363825
177.75 0.0364193203142 0.996619148363 -0.171675436482 0.874464614639
177.8 0.0277954062975 0.99607033309 -0.173281124188 0.873815254473
177.85 0.0190556472037 0.995556672135 -0.176309239562 0.874212802362
177.9 0.0102400885124 0.995076932585 -0.176313108092 0.879254811775
177.95 0.00137839121289 0.994654553256 -0.178154783889 0.883855955155
178.0 -0.00754889077218 0.994427798718 -0.178936495514 0.883054133428
178.05 -0.0165417111665 0.994409172713 -0.180776320258 0.886148043446
178.1 -0.0255411330881 0.994629793239 -0.179200556608 0.892949660792
178.15 -0.034478068729 0.995114817954 -0.178276869027 0.889450877155
178.2 -0.0433374655122 0.995714916949 -0.176099002301 0.890816944979
178.25 -0.0520962199064 0.996546712311 -0.174251173467 0.892298684399
178.3 -0.0608280646653 0.997710670435 -0.175022616889 0.892329963361
178.35 -0.0695200494049 0.999151644806 -0.172656772695 0.895285090462
178.4 -0.0780846350754 1.00086073028 -0.169926654124 0.893864183556
178.45 -0.0864526650759 1.00278561121 -0.164794545897 0.894414738838
178.5 -0.0945378285228 1.00479227817 -0.158611991976 0.886984360369
178.55 -0.102298708068 1.00691398136 -0.151823189813 0.882951964066
178.6 -0.109697681463 1.00922156395 -0.144135746008 0.881457365638
178.65 -0.116766157091 1.01174633183 -0.138603279119 0.879144154606
178.7 -0.123466345506 1.01446771513 -0.129404257489 0.876172835899
178.75 -0.129697694003 1.01721083074 -0.119849682357 0.87211411181
178.8 -0.135467761537 1.01996719207 -0.110953019016 0.867811215151
178.85 -0.140781607058 1.02271946962 -0.101600801833 0.860200602912
178.9 -0.145602750209 1.0252511612 -0.0912449242194 0.8606708108
178.95 -0.14981363542 1.02745513652 -0.0771904842006 0.853758259997
179.0 -0.153381241553 1.02936587884 -0.0655137611134 0.850875314712
179.05 -0.156303184802 1.03097068642 -0.0513639688677 0.846809490064
179.1 -0.158517303295 1.03213995481 -0.0372007708495 0.843236935315
179.15 -0.160084277946 1.03288236973 -0.0254782152004 0.841493624805
179.2 -0.161061437607 1.03315877029 -0.0136081712252 0.840747790217
179.25 -0.161422066348 1.03294060948 -0.000816978428048 0.834141100639
179.3 -0.161133459437 1.03213535123 0.0123612549047 0.835149145824
179.35 -0.160171525194 1.03060191156 0.026116114794 0.835106137691
179.4 -0.158565593403 1.02845883806 0.0381211568641 0.836241117283
179.45 -0.156374485117 1.02573975433 0.0495231745689 0.841662624261
179.5 -0.153645985363 1.02258519606 0.0596168155978 0.843760396241
179.55 -0.150385588995 1.01912685451 0.0707990390992 0.845925621328
179.6 -0.146542603892 1.0153908108 0.0829203650287 0.852208095703
179.65 -0.142168184113 1.01142017421 0.0920564261237 0.853859839867
179.7 -0.13731181703 1.00725579948 0.102198257193 0.86015222368
179.75 -0.131997032408 1.00305833614 0.110393127709 0.863569461903
179.8 -0.126287338872 0.999007614719 0.117994613722 0.868224338999
179.85 -0.120169658296 0.995267222417 0.126712609318 0.874572683444
179.9 -0.113660989416 0.99185464222 0.133634145863 0.877821380465
179.95 -0.106769046208 0.988678306107 0.142043582471 0.883600447478
180.0 -0.0995256543139 0.985784806413 0.147692093296 0.88583140221
180.05 -0.0919688228535 0.983245597913 0.154581165117 0.887931902562
180.1 -0.0841112309601 0.981009976988 0.15972251062 0.886509023983
