#:t mx my mz
17.000000 -0.106680 0.952841 0.215822
17.050000 -0.111263 0.951974 0.216689
17.100000 -0.115837 0.951083 0.217554
17.150000 -0.120404 0.950170 0.218417
17.200000 -0.124963 0.949233 0.219279
17.250000 -0.129515 0.948274 0.220138
17.300000 -0.134059 0.947291 0.220996
17.350000 -0.138595 0.946287 0.221851
17.400000 -0.143124 0.945259 0.222704
17.450000 -0.147645 0.944210 0.223555
17.500000 -0.152159 0.943138 0.224403
17.550000 -0.156665 0.942044 0.225250
17.600000 -0.161163 0.940927 0.226094
17.650000 -0.165654 0.939789 0.226936
17.700000 -0.170138 0.938628 0.227776
17.750000 -0.174614 0.937446 0.228613
17.800000 -0.179083 0.936242 0.229448
17.850000 -0.183544 0.935015 0.230281
17.900000 -0.187998 0.933768 0.231111
17.950000 -0.192445 0.932498 0.231940
18.000000 -0.196884 0.931207 0.232766
18.050000 -0.201316 0.929894 0.233591
18.100000 -0.205740 0.928559 0.234413
18.150000 -0.210158 0.927203 0.235234
18.200000 -0.214568 0.925825 0.236053
18.250000 -0.218971 0.924426 0.236870
18.300000 -0.223366 0.923005 0.237685
18.350000 -0.227754 0.921563 0.238499
18.400000 -0.232135 0.920099 0.239311
18.450000 -0.236509 0.918614 0.240122
18.500000 -0.240875 0.917107 0.240932
18.550000 -0.245234 0.915579 0.241741
18.600000 -0.249586 0.914029 0.242549
18.650000 -0.253930 0.912457 0.243356
18.700000 -0.258266 0.910864 0.244162
18.750000 -0.262595 0.909250 0.244968
18.800000 -0.266916 0.907613 0.245773
18.850000 -0.271230 0.905956 0.246579
18.900000 -0.275536 0.904276 0.247383
18.950000 -0.279834 0.902575 0.248188
19.000000 -0.284124 0.900852 0.248994
19.050000 -0.288406 0.899108 0.249799
19.100000 -0.292680 0.897341 0.250605
19.150000 -0.296945 0.895553 0.251411
19.200000 -0.301202 0.893743 0.252219
19.250000 -0.305451 0.891911 0.253027
19.300000 -0.309690 0.890058 0.253836
19.350000 -0.313921 0.888182 0.254647
19.400000 -0.318143 0.886285 0.255458
19.450000 -0.322356 0.884366 0.256272
19.500000 -0.326559 0.882425 0.257087
19.550000 -0.330753 0.880461 0.257903
19.600000 -0.334937 0.878476 0.258722
19.650000 -0.339111 0.876469 0.259542
19.700000 -0.343275 0.874440 0.260365
19.750000 -0.347428 0.872389 0.261190
19.800000 -0.351571 0.870317 0.262018
19.850000 -0.355703 0.868222 0.262848
19.900000 -0.359824 0.866105 0.263680
19.950000 -0.363934 0.863967 0.264515
20.000000 -0.368033 0.861807 0.265354
20.050000 -0.372119 0.859625 0.266195
20.100000 -0.376194 0.857421 0.267038
20.150000 -0.380256 0.855196 0.267885
20.200000 -0.384306 0.852949 0.268735
20.250000 -0.388343 0.850681 0.269589
20.300000 -0.392367 0.848391 0.270445
20.350000 -0.396378 0.846081 0.271305
20.400000 -0.400375 0.843748 0.272168
20.450000 -0.404359 0.841395 0.273034
20.500000 -0.408328 0.839021 0.273904
20.550000 -0.412283 0.836626 0.274777
20.600000 -0.416224 0.834210 0.275653
20.650000 -0.420149 0.831774 0.276533
20.700000 -0.424060 0.829317 0.277416
20.750000 -0.427955 0.826840 0.278302
20.800000 -0.431834 0.824343 0.279192
20.850000 -0.435698 0.821826 0.280085
20.900000 -0.439545 0.819290 0.280981
20.950000 -0.443377 0.816734 0.281880
21.000000 -0.447191 0.814158 0.282782
21.050000 -0.450989 0.811564 0.283688
21.100000 -0.454769 0.808950 0.284596
21.150000 -0.458533 0.806318 0.285507
21.200000 -0.462278 0.803667 0.286421
21.250000 -0.466006 0.800998 0.287337
21.300000 -0.469717 0.798312 0.288256
21.350000 -0.473409 0.795607 0.289177
21.400000 -0.477083 0.792885 0.290101
21.450000 -0.480738 0.790146 0.291027
