#:T Omega Ix Iy t1 t2 calc_time t_count
0.4 2.0 -40.3521484885 -3.69159638252 80.0 157.0 5.08013415337 3140.0

0.5 0.1 -2597.77263637 -22141.2014293 80.0 3140.0 100.408282995 62800.0000001
0.5 0.2 2878.21256261 -1104.60574963 80.0 1570.0 50.0185890198 31401.0
0.5 0.3 1542.6284003 -1247.80493453 80.0 1046.66666667 33.722053051 20934.0
0.5 0.4 962.386217262 -885.969531427 80.0 785.0 24.8891019821 15701.0
0.5 0.5 1040.83387671 -398.668100823 80.0 628.0 20.1088268757 12561.0
0.5 0.6 -466.151240758 -903.257128154 80.0 523.333333333 16.8781599998 10467.0
0.5 0.7 -445.285683625 -653.847543781 80.0 448.571428571 14.4317409992 8972.0
0.5 0.8 -506.288202199 -398.720937908 80.0 392.5 12.5901920795 7850.0
0.5 0.9 -667.497145689 -345.21783973 80.0 348.888888889 11.2390778065 6978.0
0.5 1.0 -498.625716773 -193.84775637 80.0 314.0 10.1273729801 6280.0
0.5 1.1 -335.930896744 -114.768865981 80.0 285.454545455 9.12426996231 5710.0
0.5 1.2 -247.347573671 -69.22357323 80.0 261.666666667 8.33904194832 5234.0
0.5 1.3 -180.299476543 -29.2647108645 80.0 241.538461538 7.80920100212 4831.0
0.5 1.4 -118.615782704 -9.53348929269 80.0 224.285714286 7.24722695351 4486.0
0.5 1.5 -85.0997491252 -17.7507113544 80.0 209.333333333 6.76195287704 4187.0
0.5 1.6 -78.7549111392 -14.441819247 80.0 196.25 6.33827590942 3925.0
0.5 1.7 -61.3917788174 1.22931959327 80.0 184.705882353 5.98227500916 3695.0
0.5 1.8 -37.8520103932 -0.705522002947 80.0 174.444444444 5.62155079842 3489.0
0.5 1.9 -34.4660847344 -8.62592571901 80.0 165.263157895 5.33911299706 3306.0
0.5 2.0 -37.03325998 -3.51450663379 80.0 157.0 5.06965208054 3140.0

0.6 0.1 10850.2701453 -20287.6731767 80.0 3140.0 99.8278429508 62800.0000001
0.6 0.2 4031.83535108 -8323.56394958 80.0 1570.0 50.4816617966 31401.0
0.6 0.3 2436.06534268 -5190.52406919 80.0 1046.66666667 33.4320950508 20934.0
0.6 0.4 3534.90174491 -4553.70368529 80.0 785.0 25.2712008953 15701.0
0.6 0.5 1044.51624426 -4704.6383888 80.0 628.0 20.132365942 12561.0
0.6 0.6 -958.218742845 -918.820529858 80.0 523.333333333 16.8344972134 10467.0
